# Constructed from biom file																																			
#OTU ID	B46	B23	B74	B67	B26	B07	B15	B39	B35	B70	B60	B40	B36	B47	B45	B59	B02	B06	B68	B50	B32	B77	B76	B106	B79	B99	B94	B101	B86	B44	B88	B20	B27	B89	taxonomy
OTU_6968	0	3	11	0	0	0	0	1	19	0	1	2	0	1	2	0	0	0	0	37	0	1	3	3	1	0	15	19	4	11	1	6	1	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus
OTU_10222	0	0	0	1	0	1	1	0	2	2	0	2	3	10	4	0	25	0	0	0	3	1	3	1	0	0	26	15	0	1	3	17	0	3	k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia; s__Wallemia sebi
OTU_10535	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	5	0	12	0	0	0	0	29	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae
OTU_10916	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia globosa
OTU_104	5	71	0	3	6	7	1	3	17	11	125	0	7	2	3	12	62	2	107	4	5	11	32	10	2	2	90	88	50	6	1	22	1	8	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Curvularia
OTU_118	50	104	11	53	197	102	10	46	17	85	1	46	34	24	15	3	19	16	103	24	11	95	60	40	3482	35	65	15	44	73	87	52	9	152	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Aureobasidium
OTU_51	3	15	0	8	30	8	15	10	26	3	0	25	42	25	4657	0	15	297	9	53	3	27	19	318	3	2	5	38	1	135	18	80	40	2	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae sedis; g__Cryptococcus; s__Cryptococcus laurentii
OTU_1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Incertae sedis; f__Incertae sedis; g__Sakaguchia; s__Sakaguchia dacryoidea
OTU_330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Microbotryales; f__Microbotryaceae; g__Microbotryum; s__Microbotryum anomalum
OTU_518	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	4	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium
